target_mph,v0_mps,v0_mph,brake_level,stop_dist_m,a_max_eff,ticks
25.0,12.1,27.1,0.3,12.66,5.78,75
25.0,12.1,27.1,0.4,14.56,5.027,90
25.0,12.1,27.1,0.5,13.58,5.388,83
25.0,12.1,27.1,0.6,12.74,5.745,78
25.0,12.1,27.1,0.7,12.12,6.038,74
25.0,12.1,27.1,0.8,11.43,6.404,69
25.0,12.1,27.1,0.9,10.96,6.678,66
25.0,12.1,27.1,1.0,10.51,6.964,63
35.0,15.03,33.6,0.3,22.71,4.971,123
35.0,15.03,33.6,0.4,21.41,5.275,116
35.0,15.03,33.6,0.5,20.23,5.583,109
35.0,15.03,33.6,0.6,19.0,5.942,101
35.0,15.03,33.6,0.7,18.0,6.273,95
35.0,15.03,33.6,0.8,17.13,6.592,90
35.0,15.03,33.6,0.9,16.33,6.913,85
35.0,15.03,33.6,1.0,15.67,7.205,81
45.0,17.37,38.9,0.3,21.09,7.153,93
45.0,17.37,38.9,0.4,26.97,5.593,132
45.0,17.37,38.9,0.5,25.6,5.892,124
45.0,17.37,38.9,0.6,23.88,6.317,113
45.0,17.37,38.9,0.7,22.97,6.566,109
45.0,17.37,38.9,0.8,21.95,6.872,103
45.0,17.37,38.9,0.9,20.97,7.192,98
45.0,17.37,38.9,1.0,20.25,7.448,94
50.0,18.37,41.1,0.3,30.75,5.488,144
50.0,18.37,41.1,0.4,29.44,5.733,138
50.0,18.37,41.1,0.5,27.52,6.132,126
50.0,18.37,41.1,0.6,26.51,6.366,122
50.0,18.37,41.1,0.7,25.24,6.688,115
50.0,18.37,41.1,0.8,24.16,6.986,109
50.0,18.37,41.1,0.9,23.17,7.284,104
50.0,18.37,41.1,1.0,22.33,7.56,100
