run_id,brake_profile,target_mph,encounter_distance_m,walker_speed_mps,walker_side,walker_cross,trigger_ttc_s,braking_ramp_up_per_s,brake_headway_s,weather_preset,hazard_triggered,collision_detected,outcome,min_ped_distance_m,min_ttc_s,max_jerk_mps3,mean_jerk_mps3,ego_speed_at_trigger_mph,ego_speed_at_trigger_mps,time_to_stop_s,physics_label,margin_m
run_0000,SAC_v3_1600k,22.0,60.0,1.8,left,near,1.8,4.0,2.5,ClearSunset,True,False,full_stop,2.737,0.537,408.16,13.42,21.82,9.753,1.02,borderline-avoidable,3.88
run_0001,SAC_v3_1600k,22.0,60.0,1.8,left,near,1.8,4.0,5.0,ClearSunset,True,False,full_stop,2.736,0.534,408.16,13.57,21.82,9.753,1.02,borderline-avoidable,3.88
run_0008,SAC_v3_1600k,22.0,60.0,1.8,left,near,2.2,4.0,2.5,ClearSunset,True,False,full_stop,6.898,1.191,408.16,14.16,21.8,9.746,0.94,borderline-avoidable,7.82
run_0009,SAC_v3_1600k,22.0,60.0,1.8,left,near,2.2,4.0,5.0,ClearSunset,True,False,full_stop,6.904,1.193,408.16,14.16,21.8,9.746,0.94,borderline-avoidable,7.82
run_0016,SAC_v3_1600k,22.0,60.0,1.8,left,near,2.6,4.0,2.5,ClearSunset,True,False,full_stop,11.201,1.745,408.16,15.51,21.78,9.738,1.0,avoidable,11.75
run_0017,SAC_v3_1600k,22.0,60.0,1.8,left,near,2.6,4.0,5.0,ClearSunset,True,False,full_stop,11.523,1.747,408.16,15.23,21.78,9.738,0.94,avoidable,11.75
run_0024,SAC_v3_1600k,22.0,60.0,1.8,left,near,3.0,4.0,2.5,ClearSunset,True,False,full_stop,8.398,1.623,408.16,14.29,21.78,9.735,1.58,avoidable,15.69
run_0025,SAC_v3_1600k,22.0,60.0,1.8,left,near,3.0,4.0,5.0,ClearSunset,True,False,full_stop,12.91,1.899,408.16,15.58,21.78,9.735,0.94,avoidable,15.69
run_0032,SAC_v3_1600k,22.0,60.0,1.8,left,near,3.5,4.0,2.5,ClearSunset,True,False,full_stop,15.695,2.579,408.16,15.89,21.75,9.721,1.48,avoidable,20.6
run_0033,SAC_v3_1600k,22.0,60.0,1.8,left,near,3.5,4.0,5.0,ClearSunset,True,False,full_stop,19.131,2.592,408.16,17.32,21.75,9.721,0.96,avoidable,20.6
run_0040,SAC_v3_1600k,22.0,60.0,1.8,left,far,1.8,4.0,2.5,ClearSunset,True,False,full_stop,2.717,0.535,408.16,13.57,21.82,9.753,1.02,borderline-avoidable,3.88
