run_id,target_mph,encounter_distance_m,walker_speed_mps,walker_side,walker_cross,walker_startup_s,trigger_ttc_s,trigger_delay_s,braking_ramp_up_per_s,brake_headway_s,brake_profile,weather_preset,sun_altitude_deg,cloudiness,sim_seconds,random_seed,hazard_triggered,collision_detected,outcome,min_ped_distance_m,min_ttc_s,max_jerk_mps3,mean_jerk_mps3,ego_speed_at_trigger_mph,ego_speed_at_trigger_mps,ego_dist_at_trigger_m,trigger_time_s,time_to_stop_s,error
run_0000,22.0,60.0,1.8,left,near,0.5,1.80,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,3.241,0.618,275.95,11.33,21.78,9.737,42.5,5.54,0.94,
run_0001,22.0,60.0,1.8,left,near,0.5,1.80,0.0,4.0,5.0,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,3.252,0.621,273.44,11.34,21.78,9.737,42.5,5.54,0.94,
run_0002,22.0,60.0,1.8,left,near,0.5,1.80,0.0,4.0,2.5,step_constant,ClearSunset,,,30.0,,True,False,full_stop,3.262,0.624,271.13,11.35,21.78,9.737,42.5,5.54,0.94,
run_0003,22.0,60.0,1.8,left,near,0.5,1.80,0.0,4.0,5.0,step_constant,ClearSunset,,,30.0,,True,False,full_stop,3.262,0.624,271.13,11.35,21.78,9.737,42.5,5.54,0.94,
run_0004,22.0,60.0,1.8,left,near,0.5,1.80,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,2.708,0.510,257.19,11.31,21.78,9.737,42.5,5.54,1.04,
run_0005,22.0,60.0,1.8,left,near,0.5,1.80,0.0,4.0,5.0,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,2.708,0.510,257.19,11.31,21.78,9.737,42.5,5.54,1.04,
run_0006,22.0,60.0,1.8,left,near,0.5,1.80,0.0,4.0,2.5,exponential,ClearSunset,,,30.0,,True,False,full_stop,3.121,0.603,269.26,11.29,21.78,9.737,42.5,5.54,0.96,
run_0007,22.0,60.0,1.8,left,near,0.5,1.80,0.0,4.0,5.0,exponential,ClearSunset,,,30.0,,True,False,full_stop,3.241,0.618,275.84,11.33,21.78,9.737,42.5,5.54,0.94,
run_0008,22.0,60.0,1.8,left,near,0.5,2.20,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,6.553,1.163,250.19,11.34,21.76,9.729,38.6,5.14,1.02,
run_0009,22.0,60.0,1.8,left,near,0.5,2.20,0.0,4.0,5.0,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,6.823,1.195,261.22,11.37,21.76,9.729,38.6,5.14,0.98,
run_0010,22.0,60.0,1.8,left,near,0.5,2.20,0.0,4.0,2.5,step_constant,ClearSunset,,,30.0,,True,False,full_stop,7.080,1.219,270.58,11.40,21.76,9.729,38.6,5.14,0.94,
run_0011,22.0,60.0,1.8,left,near,0.5,2.20,0.0,4.0,5.0,step_constant,ClearSunset,,,30.0,,True,False,full_stop,7.080,1.219,270.58,11.40,21.76,9.729,38.6,5.14,0.94,
run_0012,22.0,60.0,1.8,left,near,0.5,2.20,0.0,4.0,2.5,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,5.228,1.019,249.77,11.33,21.76,9.729,38.6,5.14,1.22,
run_0013,22.0,60.0,1.8,left,near,0.5,2.20,0.0,4.0,5.0,cautious_ramp,ClearSunset,,,30.0,,True,False,full_stop,5.228,1.019,249.77,11.33,21.76,9.729,38.6,5.14,1.22,
run_0014,22.0,60.0,1.8,left,near,0.5,2.20,0.0,4.0,2.5,exponential,ClearSunset,,,30.0,,True,False,full_stop,6.116,1.102,243.62,11.28,21.76,9.729,38.6,5.14,1.08,
run_0015,22.0,60.0,1.8,left,near,0.5,2.20,0.0,4.0,5.0,exponential,ClearSunset,,,30.0,,True,False,full_stop,6.561,1.167,250.88,11.35,21.76,9.729,38.6,5.14,1.02,
run_0016,22.0,60.0,1.8,left,near,0.5,2.60,0.0,4.0,2.5,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,10.121,1.733,274.27,11.34,21.74,9.721,34.7,4.74,1.14,
run_0017,22.0,60.0,1.8,left,near,0.5,2.60,0.0,4.0,5.0,proportional_ramp,ClearSunset,,,30.0,,True,False,full_stop,10.895,1.746,241.58,11.39,21.74,9.721,34.7,4.74,1.04,
run_0018,22.0,60.0,1.8,left,near,0.5,2.60,0.0,4.0,2.5,step_constant,ClearSunset,,,30.0,,True,False,full_stop,11.515,1.747,273.94,11.40,21.74,9.721,34.7,4.74,0.94,
